Date,Rate
2023-01-01,0.025458
2022-12-31,0.025458
2022-12-30,0.025458
2022-12-29,0.025437
2022-12-28,0.025388
2022-12-27,0.025473
2022-12-26,0.025527
2022-12-25,0.025527
2022-12-24,0.025527
2022-12-23,0.025527
2022-12-22,0.02553
2022-12-21,0.025539
2022-12-20,0.02557
2022-12-19,0.025532
2022-12-18,0.025555
2022-12-17,0.025555
2022-12-16,0.025555
2022-12-15,0.02542
2022-12-14,0.025431
2022-12-13,0.025563
2022-12-12,0.025667
2022-12-11,0.02584
2022-12-10,0.02584
2022-12-09,0.02584
2022-12-08,0.025694
2022-12-07,0.02575
2022-12-06,0.025783
2022-12-05,0.025672
2022-12-04,0.025973
2022-12-03,0.025973
2022-12-02,0.025973
2022-12-01,0.025866
2022-11-30,0.026086
2022-11-29,0.026291
2022-11-28,0.025936
2022-11-27,0.026091
2022-11-26,0.026091
2022-11-25,0.026091
2022-11-24,0.02597
2022-11-23,0.026109
2022-11-22,0.026372
2022-11-21,0.026519
2022-11-20,0.02622
2022-11-19,0.02622
2022-11-18,0.02622
2022-11-17,0.026214
2022-11-16,0.026103
2022-11-15,0.02602
2022-11-14,0.026238
2022-11-13,0.026324
2022-11-12,0.026324
2022-11-11,0.026324
2022-11-10,0.026728
2022-11-09,0.027121
2022-11-08,0.027049
2022-11-07,0.027245
2022-11-06,0.0274
2022-11-05,0.0274
2022-11-04,0.0274
2022-11-03,0.02772
2022-11-02,0.027447
2022-11-01,0.027443
2022-10-31,0.027364
2022-10-30,0.027155
2022-10-29,0.027155
2022-10-28,0.027155
2022-10-27,0.027125
2022-10-26,0.027041
2022-10-25,0.02716
2022-10-24,0.027411
2022-10-23,0.027635
2022-10-22,0.027635
2022-10-21,0.027635
2022-10-20,0.027695
2022-10-19,0.027699
2022-10-18,0.027508
2022-10-17,0.027817
2022-10-16,0.027802
2022-10-15,0.027802
2022-10-14,0.027802
2022-10-13,0.027937
2022-10-12,0.027933
2022-10-11,0.027922
2022-10-10,0.027923
2022-10-09,0.027789
2022-10-08,0.027789
2022-10-07,0.027789
2022-10-06,0.027527
2022-10-05,0.027415
2022-10-04,0.027259
2022-10-03,0.027872
2022-10-02,0.027695
2022-10-01,0.027695
2022-09-30,0.027695
2022-09-29,0.027928
2022-09-28,0.028282
2022-09-27,0.028128
2022-09-26,0.028138
2022-09-25,0.027817
2022-09-24,0.027817
2022-09-23,0.027817
2022-09-22,0.027507
2022-09-21,0.027318
2022-09-20,0.027508
2022-09-19,0.027455
2022-09-18,0.027135
2022-09-17,0.027135
2022-09-16,0.027135
2022-09-15,0.027225
2022-09-14,0.027101
2022-09-13,0.026996
2022-09-12,0.026745
2022-09-11,0.026914
2022-09-10,0.026914
2022-09-09,0.026914
2022-09-08,0.027164
2022-09-07,0.027341
2022-09-06,0.027413
2022-09-05,0.02728
2022-09-04,0.027076
2022-09-03,0.027076
2022-09-02,0.027076
2022-09-01,0.027124
2022-08-31,0.0271
2022-08-30,0.027073
2022-08-29,0.027028
2022-08-28,0.026886
2022-08-27,0.026886
2022-08-26,0.026886
2022-08-25,0.027203
2022-08-24,0.027303
2022-08-23,0.027096
2022-08-22,0.027162
2022-08-21,0.027072
2022-08-20,0.027072
2022-08-19,0.027072
2022-08-18,0.026804
2022-08-17,0.026607
2022-08-16,0.026611
2022-08-15,0.026601
2022-08-14,0.026343
2022-08-13,0.026343
2022-08-12,0.026343
2022-08-11,0.026147
2022-08-10,0.02622
2022-08-09,0.026451
2022-08-08,0.026566
2022-08-07,0.026597
2022-08-06,0.026597
2022-08-05,0.026597
2022-08-04,0.026664
2022-08-03,0.026779
2022-08-02,0.026544
2022-08-01,0.026407
2022-07-31,0.026616
2022-07-30,0.026616
2022-07-29,0.026616
2022-07-28,0.026743
2022-07-27,0.026757
2022-07-26,0.026792
2022-07-25,0.02669
2022-07-24,0.02656
2022-07-23,0.02656
2022-07-22,0.02656
2022-07-21,0.033056
2022-07-20,0.033157
2022-07-19,0.033033
2022-07-18,0.033352
2022-07-17,0.033682
2022-07-16,0.033682
2022-07-15,0.033682
2022-07-14,0.033937
2022-07-13,0.03353
2022-07-12,0.033728
2022-07-11,0.033383
2022-07-10,0.033308
2022-07-09,0.033308
2022-07-08,0.033308
2022-07-07,0.033296
2022-07-06,0.033188
2022-07-05,0.032975
2022-07-04,0.032404
2022-07-03,0.03255
2022-07-02,0.03255
2022-07-01,0.03255
2022-06-30,0.032526
2022-06-29,0.03233
2022-06-28,0.032127
2022-06-27,0.031983
2022-06-26,0.032146
2022-06-25,0.032146
2022-06-24,0.032146
2022-06-23,0.03211
2022-06-22,0.032218
2022-06-21,0.032058
2022-06-20,0.032168
2022-06-19,0.032297
2022-06-18,0.032297
2022-06-17,0.032297
2022-06-16,0.032354
2022-06-15,0.032464
2022-06-14,0.032435
2022-06-13,0.032402
2022-06-12,0.032135
2022-06-11,0.032135
2022-06-10,0.032135
2022-06-09,0.031677
2022-06-08,0.031537
2022-06-07,0.031662
2022-06-06,0.031613
2022-06-05,0.031642
2022-06-04,0.031642
2022-06-03,0.031642
2022-06-02,0.031652
2022-06-01,0.03164
2022-05-31,0.031607
2022-05-30,0.031444
2022-05-29,0.031522
2022-05-28,0.031522
2022-05-27,0.031522
2022-05-26,0.031723
2022-05-25,0.031752
2022-05-24,0.031668
2022-05-23,0.031738
2022-05-22,0.032019
2022-05-21,0.032019
2022-05-20,0.032019
2022-05-19,0.032034
2022-05-18,0.032168
2022-05-17,0.032152
2022-05-16,0.032523
2022-05-15,0.032702
2022-05-14,0.032702
2022-05-13,0.032702
2022-05-12,0.032558
2022-05-11,0.031337
2022-05-10,0.031365
2022-05-09,0.031358
2022-05-08,0.031254
2022-05-07,0.031254
2022-05-06,0.031254
2022-05-05,0.032177
2022-05-04,0.032299
2022-05-03,0.032384
2022-05-02,0.032306
2022-05-01,0.031387
2022-04-30,0.031387
2022-04-29,0.031387
2022-04-28,0.031492
2022-04-27,0.031323
2022-04-26,0.030936
2022-04-25,0.030826
2022-04-24,0.031486
2022-04-23,0.031486
2022-04-22,0.031486
2022-04-21,0.031245
2022-04-20,0.031368
2022-04-19,0.031328
2022-04-18,0.03158
2022-04-17,0.03158
2022-04-16,0.03158
2022-04-15,0.03158
2022-04-14,0.03158
2022-04-13,0.031459
2022-04-12,0.031155
2022-04-11,0.031226
2022-04-10,0.031363
2022-04-09,0.031363
2022-04-08,0.031363
2022-04-07,0.031173
2022-04-06,0.031163
2022-04-05,0.031013
2022-04-04,0.03095
2022-04-03,0.030775
2022-04-02,0.030775
2022-04-01,0.030775
2022-03-31,0.030561
2022-03-30,0.030309
2022-03-29,0.030577
2022-03-28,0.030893
2022-03-27,0.030722
2022-03-26,0.030722
2022-03-25,0.030722
2022-03-24,0.030911
2022-03-23,0.030991
2022-03-22,0.030921
2022-03-21,0.0308
2022-03-20,0.030848
2022-03-19,0.030848
2022-03-18,0.030848
2022-03-17,0.030454
2022-03-16,0.030776
2022-03-15,0.030991
2022-03-14,0.031049
2022-03-13,0.031026
2022-03-12,0.031026
2022-03-11,0.031026
2022-03-10,0.030885
2022-03-09,0.030164
2022-03-08,0.030566
2022-03-07,0.030612
2022-03-06,0.030486
2022-03-05,0.030486
2022-03-04,0.030486
2022-03-03,0.03005
2022-03-02,0.030006
2022-03-01,0.029863
2022-02-28,0.029632
2022-02-27,0.029693
2022-02-26,0.029693
2022-02-25,0.029693
2022-02-24,0.029997
2022-02-23,0.03005
2022-02-22,0.030461
2022-02-21,0.03095
2022-02-20,0.031096
2022-02-19,0.031096
2022-02-18,0.031096
2022-02-17,0.031087
2022-02-16,0.031305
2022-02-15,0.031334
2022-02-14,0.030959
2022-02-13,0.031335
2022-02-12,0.031335
2022-02-11,0.031335
2022-02-10,0.031469
2022-02-09,0.031286
2022-02-08,0.031339
2022-02-07,0.031249
2022-02-06,0.031155
2022-02-05,0.031155
2022-02-04,0.031155
2022-02-03,0.031079
2022-02-02,0.031175
2022-02-01,0.031268
2022-01-31,0.031448
2022-01-30,0.031322
2022-01-29,0.031322
2022-01-28,0.031322
2022-01-27,0.030906
2022-01-26,0.030784
2022-01-25,0.030916
2022-01-24,0.031146
2022-01-23,0.031111
2022-01-22,0.031111
2022-01-21,0.031111
2022-01-20,0.031118
2022-01-19,0.031004
2022-01-18,0.03091
2022-01-17,0.031085
2022-01-16,0.031256
2022-01-15,0.031256
2022-01-14,0.031256
2022-01-13,0.031399
2022-01-12,0.031596
2022-01-11,0.032074
2022-01-10,0.032206
2022-01-09,0.032098
2022-01-08,0.032098
2022-01-07,0.032098
2022-01-06,0.03212
2022-01-05,0.032109
2022-01-04,0.032478
2022-01-03,0.032406
2022-01-02,0.032304
2022-01-01,0.032304
